Posición, punto
838,"(824, 13535)"
839,"(824, 17142)"
840,"(825, 6700)"
841,"(825, 23977)"
842,"(828, 1078)"
843,"(828, 29599)"
844,"(829, 3428)"
845,"(829, 27249)"
846,"(830, 8716)"
847,"(830, 21961)"
848,"(831, 12465)"
849,"(831, 18212)"
850,"(833, 5032)"
851,"(833, 25645)"
852,"(834, 2710)"
853,"(834, 27967)"
854,"(836, 9188)"
855,"(836, 21489)"
856,"(837, 4989)"
857,"(837, 25688)"
858,"(838, 10651)"
859,"(838, 20026)"
860,"(841, 909)"
861,"(841, 29768)"
862,"(842, 1191)"
863,"(842, 29486)"
864,"(843, 2241)"
865,"(843, 28436)"
866,"(844, 6218)"
867,"(844, 24459)"
868,"(847, 8805)"
869,"(847, 21872)"
870,"(848, 6823)"
871,"(848, 23854)"
872,"(850, 14761)"
873,"(850, 15916)"
874,"(853, 8143)"
875,"(853, 22534)"
876,"(855, 2052)"
877,"(855, 28625)"
878,"(856, 425)"
879,"(856, 30252)"
880,"(858, 1364)"
881,"(858, 29313)"
882,"(859, 12147)"
883,"(859, 18530)"
884,"(860, 823)"
885,"(860, 29854)"
886,"(861, 7465)"
887,"(861, 23212)"
888,"(862, 4810)"
889,"(862, 25867)"
890,"(863, 3300)"
891,"(863, 27377)"
892,"(864, 7515)"
893,"(864, 23162)"
894,"(865, 6672)"
895,"(865, 24005)"
896,"(866, 4562)"
897,"(866, 26115)"
898,"(869, 3717)"
899,"(869, 26960)"
900,"(870, 6566)"
901,"(870, 24111)"
902,"(872, 6933)"
903,"(872, 23744)"
904,"(874, 1596)"
905,"(874, 29081)"
906,"(875, 8557)"
907,"(875, 22120)"
908,"(876, 241)"
909,"(876, 30436)"
910,"(877, 12268)"
911,"(877, 18409)"
912,"(878, 4814)"
913,"(878, 25863)"
914,"(881, 10957)"
915,"(881, 19720)"
916,"(884, 5922)"
917,"(884, 24755)"
918,"(885, 3368)"
919,"(885, 27309)"
920,"(886, 9343)"
921,"(886, 21334)"
922,"(887, 13930)"
923,"(887, 16747)"
924,"(889, 13993)"
925,"(889, 16684)"
926,"(891, 9833)"
927,"(891, 20844)"
928,"(892, 134)"
929,"(892, 30543)"
930,"(893, 2113)"
931,"(893, 28564)"
932,"(895, 9445)"
933,"(895, 21232)"
934,"(896, 9570)"
935,"(896, 21107)"
936,"(897, 10216)"
937,"(897, 20461)"
938,"(898, 2290)"
939,"(898, 28387)"
940,"(901, 2816)"
941,"(901, 27861)"
942,"(902, 1795)"
943,"(902, 28882)"
944,"(903, 15164)"
945,"(903, 15513)"
946,"(904, 1451)"
947,"(904, 29226)"
948,"(906, 12360)"
949,"(906, 18317)"
950,"(909, 7706)"
951,"(909, 22971)"
952,"(911, 2579)"
953,"(911, 28098)"
954,"(912, 3333)"
955,"(912, 27344)"
956,"(913, 13793)"
957,"(913, 16884)"
958,"(916, 4651)"
959,"(916, 26026)"
960,"(923, 10141)"
961,"(923, 20536)"
962,"(928, 5357)"
963,"(928, 25320)"
964,"(929, 12911)"
965,"(929, 17766)"
966,"(931, 7913)"
967,"(931, 22764)"
968,"(932, 8219)"
969,"(932, 22458)"
970,"(933, 5475)"
971,"(933, 25202)"
972,"(936, 8259)"
973,"(936, 22418)"
974,"(938, 14323)"
975,"(938, 16354)"
976,"(942, 13005)"
977,"(942, 17672)"
978,"(943, 14438)"
979,"(943, 16239)"
980,"(948, 5631)"
981,"(948, 25046)"
982,"(949, 10846)"
983,"(949, 19831)"
984,"(951, 948)"
985,"(951, 29729)"
986,"(953, 13641)"
987,"(953, 17036)"
988,"(957, 7662)"
989,"(957, 23015)"
990,"(958, 3241)"
991,"(958, 27436)"
992,"(962, 4697)"
993,"(962, 25980)"
994,"(965, 4423)"
995,"(965, 26254)"
996,"(966, 10157)"
997,"(966, 20520)"
998,"(967, 5523)"
999,"(967, 25154)"
1000,"(968, 14256)"
1001,"(968, 16421)"
1002,"(970, 8337)"
1003,"(970, 22340)"
1004,"(971, 3955)"
1005,"(971, 26722)"
1006,"(973, 7730)"
1007,"(973, 22947)"
1008,"(974, 11494)"
1009,"(974, 19183)"
1010,"(975, 10260)"
1011,"(975, 20417)"
1012,"(976, 8113)"
1013,"(976, 22564)"
1014,"(979, 13637)"
1015,"(979, 17040)"
1016,"(980, 9945)"
1017,"(980, 20732)"
1018,"(981, 7911)"
1019,"(981, 22766)"
1020,"(982, 12737)"
1021,"(982, 17940)"
1022,"(983, 13904)"
1023,"(983, 16773)"
1024,"(985, 11877)"
1025,"(985, 18800)"
1026,"(987, 3911)"
1027,"(987, 26766)"
1028,"(990, 7165)"
1029,"(990, 23512)"
1030,"(991, 8899)"
1031,"(991, 21778)"
1032,"(992, 8870)"
1033,"(992, 21807)"
1034,"(993, 4739)"
1035,"(993, 25938)"
1036,"(995, 13643)"
1037,"(995, 17034)"
1038,"(996, 7330)"
1039,"(996, 23347)"
1040,"(997, 8207)"
1041,"(997, 22470)"
1042,"(1002, 13276)"
1043,"(1002, 17401)"
1044,"(1004, 5534)"
1045,"(1004, 25143)"
1046,"(1005, 5681)"
1047,"(1005, 24996)"
1048,"(1007, 2973)"
1049,"(1007, 27704)"
1050,"(1008, 4331)"
1051,"(1008, 26346)"
1052,"(1009, 13684)"
1053,"(1009, 16993)"
1054,"(1013, 877)"
1055,"(1013, 29800)"
1056,"(1015, 15208)"
1057,"(1015, 15469)"
1058,"(1017, 8751)"
1059,"(1017, 21926)"
1060,"(1018, 5688)"
1061,"(1018, 24989)"
1062,"(1019, 5208)"
1063,"(1019, 25469)"
1064,"(1021, 13948)"
1065,"(1021, 16729)"
1066,"(1022, 3546)"
1067,"(1022, 27131)"
1068,"(1024, 4536)"
1069,"(1024, 26141)"
1070,"(1028, 15328)"
1071,"(1028, 15349)"
1072,"(1031, 1378)"
1073,"(1031, 29299)"
1074,"(1032, 13647)"
1075,"(1032, 17030)"
1076,"(1035, 9522)"
